"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-13275-sq-ft-spid-G83618828","320000000","24105","13275","Mohan Co-operative Industrial Estate, Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-preet-vihar-east-delhi-3330-sq-ft-spid-W83876878","170000000","51051","3330","Preet Vihar, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-greater-kailash-1-south-delhi-900-sq-ft-r4-spid-G57264776","210000000","233333","900","Greater Kailash 1, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-eros-corporate-tower-nehru-place-south-delhi-4847-sq-ft-spid-C83257426","197000000","40643","4847","Nehru Place, Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-dlf-the-south-court-saket-south-delhi-4500-sq-ft-spid-C83936654","180000000","40000","2250","Saket, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-aurobindo-marg-south-delhi-5000-sq-ft-spid-I82421328","250000000","62500","4000","Aurobindo Marg, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sultanpur-extension-south-delhi-140-sq-ft-spid-L84134622","5000000","35714","140","Sultanpur Extension, Delhi, South Delhi","Dealer"
"Warehouse","https://www.99acres.com/warehouse-for-sale-in-patparganj-industrial-area-delhi-east-4844-sq-ft-spid-W83974386","120000000","24774","4843","Patparganj Industrial Area, Delhi, East Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-shalimar-bagh-north-delhi-300000-sq-ft-r5-spid-A77382795","4050000000","14727","275000","Shalimar Bagh, Delhi, North Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-janakpuri-west-delhi-485-sq-ft-r2-spid-H71333278","47000000","113402","485","Janakpuri, West Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-203-sq-ft-spid-O83412560","15000000","100000","150","Sector 19B Dwarka, Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-21600-sq-ft-r1-spid-X81249625","300000000","13889","21600","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-21600-sq-ft-spid-F82525186","720000000","33333","21600","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-560-sq-ft-r5-spid-F61357886","16000000","28571","335","Sector 14 Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-6-dwarka-delhi-200-sq-ft-r1-spid-L82457454","50000000","277777","180","Sector 6 Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-300-sq-ft-r2-spid-A77258777","43600000","290666","150","Sector 19B Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-10-dwarka-delhi-100-sq-ft-r1-spid-F79727879","5900000","118000","50","Sector 10 Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-245-sq-ft-r1-spid-R81751602","40000000","163265","245","Sector 14 Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-1404-sq-ft-r1-spid-M82101066","75000000","88757","845","Sector 14 Dwarka, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-eros-corporate-tower-nehru-place-south-delhi-5000-sq-ft-spid-A83729036","220000000","44000","5000","Nehru Place, Delhi","Dealer"
"Warehouse","https://www.99acres.com/warehouse-for-sale-in-okhla-phase-2-south-delhi-28000-sq-ft-spid-G83408436","350000000","12500","26000","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-nehru-place-south-delhi-2800-sq-ft-spid-B83267196","86500000","30892","2800","Nehru Place, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-nehru-place-south-delhi-1800-sq-ft-spid-S83266840","67500000","56250","1200","Nehru Place, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-800-sq-ft-spid-H83310022","24500000","30625","800","Sector 12 Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mangal-bazar-east-delhi-1062-sq-ft-spid-C84020608","7800000","7345","1062","Mangal Bazar, Delhi, East Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-5400-sq-ft-r11-spid-V59412436","100000000","20833","5400","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-ashoka-estate-barakhamba-road-central-delhi-11825-sq-ft-spid-C83258418","440000000","37209","11825","Barakhamba Road, Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-sultanpur-south-delhi-1100-sq-yard-spid-B83056186","357500000","36111","9900","Sultanpur, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-vasundhara-enclave-east-delhi-4800-sq-yard-spid-X83597496","670000000","15509","43200","Vasundhara Enclave, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-realtech-copia-corporate-suites-jasola-south-delhi-3021-sq-ft-spid-V82993522","58900000","19500","3021","Jasola, Delhi","Dealer"
"Warehouse","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","35000000","","24300","Mayapuri Industrial Area Phase 1, Delhi, Delhi",""
"Office Space","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","5000000","","385","Paschim Vihar, Delhi, Delhi",""
"Hotel / Resort","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","750000000","","50000","Chattarpur, Delhi, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","4500000","","","Sector 22 Rohini, North Delhi, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","6600000","","","Sector 19B Dwarka, South West Delhi, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","11900000","","","Chandni Chowk, Central Delhi, Delhi",""
"Commercial plot / Land","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","600000000","","31950","Mohan Co-operative Industrial Estate, Delhi, Delhi",""
"Office Space","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","26000000","","1425","Block G Kalkaji, Delhi, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","14500000","","526","Block B Pocket C Sector 1 Rohini, Delhi, Delhi",""
